"Protein","Outcome","HR","conf_low","conf_high","p_value","p_fdr","n_event","n_total","group","Trend","p_fdr_trend"
"ACAN","AD",1.406444858,0.750991679,2.633966787,0.286683497,0.573366993,121,6927,"Pre-DM","Fluctuating Decreasing",0.286683497
"ACAN","UD",1.690863634,0.923124509,3.09711182,0.088957528,0.665255015,140,6924,"Pre-DM","Fluctuating Decreasing",0.304644286333333
"ACAN","Dementia",1.159556197,0.724540452,1.85575639,0.537234011,0.721659768,225,6921,"Pre-DM","Fluctuating Decreasing",0.626773012833333
"ACAN","ADD",1.293627133,0.631914531,2.64825554,0.481249267,0.723323431,91,6929,"Pre-DM","Fluctuating Decreasing",0.509614236
"ACAN","DoD",0.547653072,0.164335528,1.825070282,0.326896211,0.730417236,34,6928,"Pre-DM","Fluctuating Decreasing",0.762757825666667
"ACAN","VaD",0.996550563,0.400520069,2.479558709,0.994071993,0.994071993,59,6928,"Pre-DM","Fluctuating Decreasing",0.994071993
"ACAN","VaD",2.79473049262429,1.19732273834727,6.52331929917681,0.0174838968483929,0.128215243554881,54,3095,"T2D","Fluctuating Decreasing",0.0611936389693752
"ACAN","ADD",1.59044924827278,0.802566456331514,3.15179981841477,0.183618163503418,0.646456555543969,75,3094,"T2D","Fluctuating Decreasing",0.49191125590141
"ACAN","Dementia",1.21588434758201,0.778254492051278,1.89960322978454,0.39052044455902,0.660880752330649,197,3089,"T2D","Fluctuating Decreasing",0.39052044455902
"ACAN","AD",1.51918465018077,0.80525167799092,2.8660877889793,0.196642464021285,0.743176028588441,102,3094,"T2D","Fluctuating Decreasing",0.646769641516637
"ACAN","UD",0.762049397892738,0.438947500861129,1.32298118496956,0.334287192745719,0.774287436220341,128,3090,"T2D","Fluctuating Decreasing",0.468002069844007
"ACAN","DoD",1.03777311747724,0.307028471800301,3.50773020183911,0.952419556867312,0.99592282455763,24,3095,"T2D","Fluctuating Decreasing",0.962819215834502
"ADGRG2","Dementia",1.493491115,0.923714156,2.414725051,0.10178454,0.410296332,225,6921,"Pre-DM","Fluctuating Decreasing",0.23749726
"ADGRG2","AD",1.438088527,0.762744193,2.711392145,0.261480062,0.547862986,121,6927,"Pre-DM","Fluctuating Decreasing",0.286683497
"ADGRG2","UD",1.603078431,0.869477245,2.955638541,0.130561837,0.665255015,140,6924,"Pre-DM","Fluctuating Decreasing",0.304644286333333
"ADGRG2","ADD",1.282486443,0.612211422,2.686606974,0.509614236,0.723323431,91,6929,"Pre-DM","Fluctuating Decreasing",0.509614236
"ADGRG2","VaD",1.215065705,0.463783521,3.183348695,0.691801973,0.92240263,59,6928,"Pre-DM","Fluctuating Decreasing",0.807102301833333
"ADGRG2","DoD",0.960190197,0.270711441,3.405712039,0.949855529,0.977863229,34,6928,"Pre-DM","Fluctuating Decreasing",0.976191788
"ADGRG2","Dementia",0.572980784883804,0.359738651040045,0.912626371664226,0.0190300855446016,0.139553960660412,197,3089,"T2D","Fluctuating Decreasing",0.0444035329374037
"ADGRG2","UD",0.531127570928819,0.29657149405351,0.951192215897358,0.0333146173731265,0.298851600748472,128,3090,"T2D","Fluctuating Decreasing",0.110408891080826
"ADGRG2","VaD",0.513982249092681,0.211382985894005,1.24975882644991,0.142060419251043,0.331971462754235,54,3095,"T2D","Fluctuating Decreasing",0.165737155792884
"ADGRG2","DoD",0.347052467381284,0.104664057711136,1.15078105845903,0.0835701700929541,0.408565276009998,24,3095,"T2D","Fluctuating Decreasing",0.194997063550226
